name,description,url
"AIoT Streaming Analytics","Workshop to empower a partner ready for AIoT(AI+IoT) streaming analytics","NA"
"Consumer Project IoT","As an engineer in a PoC to make customer product ready for IoT. Technology lead in defining subsequent commercialization requirements (1.5 year)","NA"
"Fleet IoT","Fleet solution packaging project targeting the Japanese market. Install in-vehicle devices and collect data from platforms. From on-site data collection, provided the scoring function of the driver's behavior data using ML methods (4 months)","NA"
"AutoML with Azure ML","build and optimize an Azure ML pipeline using the Python SDK and a provided Scikit-learn model. This model is then compared to an Azure AutoML run.","https://github.com/HajimeK/nd00333_AZMLND_Optimizing_a_Pipeline_in_Azure-Starter_Files"
"MLOps with Azure ML","Deploy trained models to an end point what is consumable with REST API calls","https://github.com/HajimeK/nd00333_AZMLND_C2/tree/master/starter_files"
"Azure ML with real data","Using an traditional census data in Machine Learning studies, here I have derived prediction models to find potential donors. If the income is expected larger than 50K, we find the person as potential donors and put emphasis on the activity to ask for donations.","https://github.com/HajimeK/nd00333-capstone"
"Azure Performance","Investigate Azure perfomance using Application Insights, Logs and etc, and autoscale when needed","https://github.com/HajimeK/nd081-c4-azure-performance-project-starter"
"Migrating to Azure","Making application to work with cloud managed services, like Azure Functions, service bus queue messaging","https://github.com/HajimeK/nd081-c3-Migrating-Non-Native-Cloud-Applications-project-starter"
"Azure Web App with REST & Cosmos DB backend","Azure Web App with REAT API withAzure Functions and Mongo DB","https://github.com/HajimeK/nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter"
"CMS app on Azure with AD credential","CMS app with OAuth2 with Sign in with Microsoft using the msal library, along with app logging.","https://github.com/HajimeK/nd081-c1-provisioning-microsoft-azure-vms-project-starter/blob/master/WRITEUP.md"
"Person Detection with Intel OpenVINO","Using SSD, Single Shot Multibox Detector, to detect people in real-time streaming video. Can operate both with Intel CPU embedded GPU and Intel USB VPU","https://github.com/HajimeK/nd131-openvino-fundamentals-project-starter/blob/master/WRITEUP.md"
"AIoT, Anormaly Detection","Reducing the failure rate of trucks is critical in logictics business. That directly impacts profitability and customer satisfaction. Until now, logistics companies rely on regular maintenance to prevent the occurrence of failures. However, since the utilization rate of trucks exceeds the days what has been assumed to be covered by periodic maintenance, the percentage of post-maintenance caused by failures increasing, which has been a problem for some time.","https://github.com/HajimeK/machine-learning/blob/master/projects/capstone/report/capstone.md"
"Blockchain applied Supply Chaing","Ethereum DApp that demonstrates a Supply Chain flow between a Seller and Buyer.","https://github.com/HajimeK/BlockchainDevND/tree/master/projects/project_6_Supply_Chain"
"Blockchian applied to Flight Insureance","Decentralized App withvoting algorithm for flight insurance among passengers and flight companies","https://github.com/HajimeK/BlockchainDevND/tree/master/projects/project_FlightSurety"
"Blockchain applied to NFT","Smart Contract app to exchange items in OpenSea market place using NFT","https://github.com/HajimeK/BlockchainDevND/tree/master/projects/project_Capstone"
